event,specification,date,relative_day,observed_return,expected_return,abnormal_return
theatrical,market_sector,2026-08-14,0,0.0058177238190337,0.005722171856982333,9.555196205136667e-05
theatrical,market_sector,2026-08-17,1,-0.0246902976903026,-0.013354678939284235,-0.011335618751018364
theatrical,market_sector,2026-08-18,2,-0.012790437834396,0.0010315147053666512,-0.013821952539762651
theatrical,market_sector,2026-08-19,3,-0.0038554676758015,-0.008967378387724118,0.005111910711922619
theatrical,market_sector,2026-08-20,4,-0.031953154555535,-0.02554839494550929,-0.0064047596100257065
theatrical,market_sector,2026-08-21,5,-0.0041841428625543,-0.0011890957713563714,-0.0029950470911979284
theatrical,market_sector,2026-08-24,6,-0.0174602721179248,-0.007056379682945764,-0.010403892434979037
theatrical,market_sector,2026-08-25,7,0.0029459046726649,-0.002136820374598182,0.005082725047263082
theatrical,market_sector,2026-08-26,8,0.0047848896061899,0.006543752218221969,-0.001758862612032069
theatrical,market_sector,2026-08-27,9,-0.0103729406677781,0.0018835902325412962,-0.012256530900319397
theatrical,market_sector,2026-08-28,10,-0.0003334702255144,-0.004821403365030223,0.004487933139515823
theatrical,market_only,2026-08-07,-5,0.0096041849523724,0.006322182804437219,0.0032820021479351806
theatrical,market_only,2026-08-10,-4,-0.0069533525106409,-0.0013707041042668698,-0.00558264840637403
theatrical,market_only,2026-08-11,-3,0.0019331252201986,-0.004358751125409151,0.006291876345607751
theatrical,market_only,2026-08-12,-2,-0.0087463921148882,0.002278638428179311,-0.011025030543067511
theatrical,market_only,2026-08-13,-1,-0.0037629547087851,0.006699426016560873,-0.010462380725345973
theatrical,market_only,2026-08-14,0,0.0058177238190337,-0.0026351471619074406,0.00845287098094114
theatrical,market_only,2026-08-17,1,-0.0246902976903026,-0.006648580375832769,-0.01804171731446983
theatrical,market_only,2026-08-18,2,-0.012790437834396,-0.008528993768800376,-0.004261444065595624
theatrical,market_only,2026-08-19,3,-0.0038554676758015,0.0016899367409703432,-0.005545404416771843
theatrical,market_only,2026-08-20,4,-0.031953154555535,-0.01056021682530349,-0.021392937730231508
theatrical,market_only,2026-08-21,5,-0.0041841428625543,0.004233030298588664,-0.008417173161142964
theatrical,market_only,2026-08-24,6,-0.0174602721179248,-0.0038927450028338785,-0.013567527115090922
theatrical,market_only,2026-08-25,7,0.0029459046726649,0.0029199603733806585,2.5944299284241454e-05
theatrical,market_only,2026-08-26,8,0.0047848896061899,-0.0009408032269807983,0.005725692833170698
theatrical,market_only,2026-08-27,9,-0.0103729406677781,0.007480428595044324,-0.017853369262822424
theatrical,market_only,2026-08-28,10,-0.0003334702255144,-0.0035342356531382923,0.0032007654276238924
